tweet_id,label,tweet_text
1.3603420029619405e+18,1,"4,000 a day dying from the so called Covid-19 vaccine @DailyBeast reports. #vaccine #PfizerVaccine #Moderna 

https://t.co/p1nQWWZpk4"
1.3828963348862484e+18,2,Pranam message for today manifested in Dhyan by @meenapranam #truth #love #karm #light #nature #consciousness #FridayThoughts #fridaymorning #CoronavirusIndia #COVID19India #?????_???????? #navratri #Thane #AmbedkarJayanti2021 #ModiJi #NarendraModi #SecondCOVIDWave #Covaxin https://t.co/bQNoMVowJg
1.375673411846873e+18,2,"Hyderabad-based ?@BharatBiotech? has sought funds from the government to ramp up production of its indigenously developed Covid-19 vaccine, #Covaxin .
The company has written to the ??@DBTIndia? seeking Rs 100 crore to ramp up. https://t.co/wjWlVIGMC4"
1.3813109011192873e+18,1,"Confirmation that Chinese #vaccines ""dont have very high protection rates"", according to the director of the China Centers for Disease Control, Gao Fu.

#Sinovac effectiveness ""found to be as low as 50.4% by researchers in Brazil""; &lt;50% is 'not useful'.

https://t.co/S2OoHjd7Do"
1.3621655560911913e+18,3,"Lab studies suggest #Pfizer, #Moderna vaccines can protect against #coronavirusvariant
https://t.co/NPaFA68m57"
1.3512850900773233e+18,1,"Still want to take the #jab?
#PfizerBioNTech
#sideeffects 

13 Israelis suffer FACIAL PARALYSIS after taking Pfizer Covid jab, amid influx of reports detailing adverse effects
https://t.co/RYitPGzuaV"
1.377333403666686e+18,2,"This time, Aerolíneas flight AR1068 goes to Moscow to pick up the #SputnikV vaccines.

There were about 11 flights between Buenos Aires (Argentina) and Moscow (Russia). ??????

Follow flight #AR1068 at RadarBox:
https://t.co/jQD1ajKDfW

#AerolíneasArgentinas #Vaccines #RadarBox https://t.co/A0Evyzf57z https://t.co/YhRBawRXm6"
1.3633442210846392e+18,3,"#Covaxin effective against mutant virus strains: ICMR ??

Thanks to Dr. @Swamy39 jee &amp; Health Minister, Dr. Harsh Vardhan jee for promoting India's first indigenous Covid Vaccine from Bharat Biotech !!  ??

https://t.co/6wSwiSaIZt https://t.co/SK7ECsgUOz"
1.3725800128224993e+18,3,Safe and effective. #OxfordAstraZeneca
1.3675067538905047e+18,2,The day after the #Moderna #COVID19Vaccine... My arm is a little sore and I am a little more fatigued than usual. My grandparents had no noticeable effects though.
1.3808425266561147e+18,3,@syd_m39 Not a girl but part of the #Moderna club ?
1.3845356262681108e+18,2,"When we can get #moderna and #pfitzer Vaccine in India?
@narendramodi 
@MoHFW_INDIA"
1.3815592891023603e+18,2,"Cameroon receives 200 000 doses of Sinopharm Covid-19 vaccine
https://t.co/pmc6VFJ91I

#Cameroon #Sinopharm #Vaccines #Covid19"
1.3828447198482964e+18,2,#India at 216850  new cases of #coronavirus with 1183 deaths in the last 24 hours. #COVID19 #COVID #COVIDisAirborne #Covaxin #COVID?19 #COVID #COVIDIOTS #COVID19India #CoronavirusIndia #CoronaCurfew #Corona #worldometer #covishield https://t.co/TnusX1UkHJ
1.368871727627899e+18,3,"@RachelNotley @GovCanHealth @CPHO_Canada 

Congrats to the amazing scientists who created #coronavirus #vaccines to end the #pandemic.????? 

#science #scientists #Pfizer #Moderna #AstraZeneca #Janssen #cdnpoli https://t.co/ZiunBgnVcP"
1.3820022832111575e+18,2,"#Covishield vs #Covaxin vs Moderna/Pfizer  Science Behind COVID-19 Vaccines and Careers in #VaccineResearch
 https://t.co/qkg9lRGEZZ

@im_sandipan @PavanSomwanshi1 @Sanjibchat @BiomedicalZone @IAmBiotech @FierceBiotech @ScienceNatty @teamstoodnt"
1.382904265744683e+18,2,"ETHealthworld | Haffkine Institute gets nod to produce Covaxin

#Covaxin #CovidVaccine #HaffkineInstitute #BharatBiotech #production 
https://t.co/10wgSIdlAo"
1.3837877595050025e+18,3,"@CBCAlerts EMBARRASSING Crimea Russia everything is open business as usual. Ontario reporting 4250 cases of #COVID19 1392 new cases in Toronto #lockdown Closed business, Church ,no family, No Hope #MentalHealth Canada get out of Syria #SputnikV 91.6% effective #Jesus https://t.co/jsi3umF2Xf"
1.3777294267844116e+18,2,Officially a #Moderna gay ?
1.3823758910372536e+18,3,"#BREAKING: #Serbia starts #SputnikV production! 

RDIF &amp; Institute of Virology, Vaccines and Sera Torlak join forces to bring more Sputnik V vaccines to the world!  https://t.co/kpDxTz5D3l"
1.3674501869440407e+18,3,Good day yesterday! My 90 year old Dad got his second #Moderna shot!  Such a relief! https://t.co/bIf3ufJffY
1.3470516032416113e+18,3,Got the #PfizerBioNTech vaccine !!
1.3820479211604173e+18,2,"Abusing #atmanirbhar Bharat as a political tool has now forced us to import vaccines, when in 2020 our great Government peddled this warped concept to stop approved foreign vaccines from being sold in India while promoting and exporting #covaxin before completing clinical trials https://t.co/brE9VugHjx"
1.3673533886906696e+18,3,"?Its been about 10 hrs since I received the 2nd dose of #Moderna and I feel fine.  I'm off the next two days, then back to work on Saturday.?  #Hydrate #VitaminC #Rest #SelfCare #Mindfulness #WellBeing #DrinkWater #MyWhy #COVID19Vaccination #IGotMyShot https://t.co/4jIsPPmhdK"
1.381546138973573e+18,3,@sanket #SputnikV  at 91% efficiency is far ahead of #Covishield and #Covaxin.
1.382174087984816e+18,3,One more to go #firstdosedone #Moderna thankful @SutterHealth @SCCgov
1.3828700825151939e+18,2,I got the second dose of my #Moderna #vaccine yesterday and so far the only side effect has been (pretty bad but manageable) soreness in the injected arm.
1.3733390400370483e+18,3,"Just got  my 2nd #moderna shot. My mom &amp; grandma got #johnsonandjohnson &amp; #pfizer. We 3 have deathly allergies, but had zero #allergic or adverse reactions ! Dont let allergies stop you from getting the #COVID19Vaccine"
1.3675992584556544e+18,2,Especially because we lack data on #johnsonandjohnson vaccine efficacy specifically against the #B117 variant which is fueling the current surge. There is precedent to granting EUA before final data from phase 3 is available as in #SputnikV and #Covaxin. @aslavitt46 @US_FDA
1.3498888471366164e+18,3,It happened!!!! #CovidVaccine  #PfizerBioNTech #IGotMyVaccineAtUHN  #UHN https://t.co/QrwNYiixEv
1.3824514384885965e+18,2,Got my first dose of the Moderna vaccine. Im not sure its working - Jeff Bezos hasnt sent in my check. Is this thing on?? #sarcasm #getvaccinated #moderna #COVID19Vaccine
1.3831733534610186e+18,2,"TRICAREs #GotYour6! The safety of you and your family are our top priority. On April 19, #Pfizer and #Moderna vaccine appointments will be open to all who are eligible and authorized to receive a vaccine at @DeptofDefense sites. Visit: https://t.co/yCGgjJcCUu
 #COVIDVaccine https://t.co/MQZHM42xeT"
1.3818941135413207e+18,2,"Russia's Covid vaccine Sputnik V has been cleared for emergency use by the Drugs Controller General of India.
#SputnikV #COVID19 #Russia #India #Emergency #EmergencyMedicine https://t.co/agrcdBKaRk"
1.3840841224029102e+18,3,"@catcheronthesly Let us change the goal post. So now this is between you and me and not related to CONG or MMS

Yes, like COVAXIN, they should have given emergency approval to #SputnikV and maybe others and should have allowed people to pay and get #vaccinated with #vaccine of their choice"
1.3815808114266644e+18,2,"#SputnikV gets approval within 2 days of @RahulGandhi's suggestion of fast tracking approval of other vaccines as per norms!

After mocking @RahulGandhi, Modi govt does exactly what he suggested.

Resignation Prasad should apologise and resign now!"
1.374478039719895e+18,3,Just got my first vaccine!! #Moderna Mahalo to @HawaiiDOH for running such a smooth clinic in Kona! #CovidVaccine
1.3749743571312517e+18,2,"#Sinovac vaccine for 22 provinces 
 @BangkokPostNews #Thailand 
https://t.co/EdsZwBHLad"
1.3594533122406523e+18,2,"#MediaFocus #Hungary is set to receive its first shipment of the Chinese coronavirus jab #Sinopharm by the end of the month, Dailymail reported. #vaccine #China https://t.co/oTrNSeVX9U"
1.3391833725607076e+18,3,"Starting today, a new chapter begins at my hospital @MaimonidesMC filled with hopes to end dark COVID times &amp; joy of celebrating life.
#CovidVaccine #PfizerBioNTech #mrnavaccine #COVIDends"
1.38155183027089e+18,2,"DCGI will decide on the SEC recommendation for #SputnikV
Dr Reddy's, which has collaborated with Russia's sovereign fund RDIF, conducted the bridge trial for Sputnik V and has applied for emergency use. If approved by DCGI, this will be the third vaccine to be available in India https://t.co/Tgfba3hdMu"
1.3838144110144594e+18,3,"Researchers said the risk of cerebral venous thrombosis from the #Covid was approximately:
?10 times higher compared to messenger RNA vaccines.
?8 times higher compared to the #oxfordastrazeneca vaccine"
1.3675289090891612e+18,2,"Well this should decide the first country to send left-over UK #oxfordastrazeneca  + other vaccines to.  Our good friends in #Australia. 
Allies. 5 eyes. Family ties. https://t.co/zKBxhVLDjq"
1.3821430415704433e+18,3,Just got my second #Moderna #COVID19 shot. It was empty Thursday opens to everyone. Go #GetVaccinated #CovidVaccine #COVID19Vaccination Its everybodys turn now. https://t.co/seGfT6Kuos
1.383892987063591e+18,2,This guy just got his first dose of the Moderna vaccine today! I am now halfway closer to getting back to Lawrence! #moderna #SleeveUpJoCo
1.3829920466848358e+18,2,"Anti-#covid19 update:

??India becomes 6??0??th country to authorise use of @sputnikvaccine;
?India set to produce 5??0?? mln doses of ??#vaccine per month by summer;
??Serbia starts #SputnikV production.

#StaySafe #StopCovid19 https://t.co/xSqMYT2eqj"
1.3843198336306463e+18,2,"@LINDAINLIGHT @normanswan #AstraZenica has substantially lower efficacy than #Pfizer or #Moderna While blood clot deaths are rare, there have been some across all age groups vaccinated, including those aged 55+"
1.371358829565317e+18,3,"The AstraZeneca vaccine causing blood clots?! What such nonsense! ? My mother had her shot of it two weeks ago and only got a headache and fatigue after it, and is now right as rein! ? #CovidVaccine #oxfordastrazeneca"
1.3749869107628564e+18,2,"Global #COVID19 cases have surpassed 124 million, with over 2.7 million deaths. The #US remains the worst-hit nation, its cases have topped 30 million. #Zimbabwean President Emmerson Mnangagwa has received his first shot of Chinas #Sinovac vaccine. https://t.co/ZxngT88ryj"
1.3829183582790203e+18,2,"Modi Government go ahead in production of #Covaxin to #Maharashtra Govt 
It's #BharatBiotech vaccine now said company too can produce but this also will take time"
1.3766533798631588e+18,3,"...and in other news, just got my first dose of the Modern COVID-19 vaccination. Tiny needle, didn't feel a thing, and I'm feeling absolutely fine afterwards.

Take *that*, you evil little bastard.

#Moderna #COVID19Vaccine"
1.378618274989146e+18,2,The govt was pushed to corner to ban the Russian #SputnikV vaccine in KE &amp; only accept the UK #AstraZenaca little did they know the master will issue threats against KE. We should allow all vaccines to be sold in KE &amp; end the colonial monopoly of UK. #KenyaVsUK Nanyuki Kibaki
1.3729095614268088e+18,3,First dose in affect !!! ??#Moderna #COVID19Vaccine https://t.co/WbhekeZe9P
1.3654393456756326e+18,2,FWIW: Ill go with the 2- shots of either #Pfizer or #Moderna. J&amp;J isnt as effective with one shot. Better efficacy is worth having to go through two rounds of shots. #COVID19Vaccine
1.3585082304780367e+18,3,Got my first jab ?yesterday and joined the 12 million that have had theirs. Amazing organisation at local GP. #covid_19 #vaccine #vaccination #astrazeneca #oxfordastrazeneca https://t.co/RhuIl8XPTT
1.3719176212732355e+18,2,Got my first Moderna shot yesterday! Ask me how it went! #moderna #vaccine
1.3703894573257155e+18,2,#COVID19 #vaccine access protest yesterday outside #Moderna in Kendall Square https://t.co/vX6JDakasU
1.3773373133577871e+18,2,"I bet he would love the ""worst case scenario""... and #PfizerBioNTech too... https://t.co/cX6zghBzSq"
1.373577427885064e+18,2,".@AAICLAS_in team under guidance of @KekuGazder &amp; in close coordination &amp; support of @MoCA_GoI has been working relentlessly towards #vaccinedelivery since Jan 13 as #DCGI gave emergency use authorization to #Covishield &amp; #Covaxin
Tune in tmrw @ 2PM CET for an ITW with Mr. Gazder https://t.co/HpsznWlw0g"
1.3696554416560046e+18,2,"#GoodMorning Tweeps!
I woke up feeling very well AGAIN this morning! Im beginning to wonder if the #Moderna vaccine also fights #LongCovid symptoms. I still have them, and I absolutely crash around 4pm, but something is going on..

I also woke up with  ??Fanta??in my head ? https://t.co/xtvox6E5hO"
