tweet_id,label,tweet_text
1608533478949412864,1,Thats why I said in previous posts COVID was a counterinsurgency operation.😖
1608533478949412864,1,Whitney Webb on Unlimited Hangout did an article which shows Modernas direct connection to DARPA/Pentagon.
1608533478949412864,3,Whitney Webb on Unlimited Hangout did an article which shows Modernas direct connection to DARPA/Pentagon.
1451706609999261698,3,"My dermatologist recommended Shingrix, I got vaccinated."
1451706609999261698,3,"My dermatologist recommended Shingrix, I got vaccinated."
1412508359547363335,3,I got the Shingrix 2 weeks after I turned 50
1412508359547363335,2,Me too
965602190357352449,3,is preferred over Zostavax® (zoster vaccine live)
965602190357352449,2,is preferred over Zostavax® (zoster vaccine live)
965602190357352449,2,Learn more about shingles vaccination recommendations
965602190357352449,2,Learn more about shingles vaccination recommendations
1367223173511475201,3,"Vaccinations would reduce the effect common viruses would have on results (e.g. VZV - Shingrix even before age 50, HPV - Gardasil-9, etc.)"
1367223173511475201,3,"Vaccinations would reduce the effect common viruses would have on results (e.g. VZV - Shingrix even before age 50, HPV - Gardasil-9, etc.)"
1608856750115139586,1,protects against both Covid and Human Trafficking I guess.
1476531081562103808,1,‘The MHRA has received 666 UK reports of suspected ADRs to the COVID-19 Pfizer/BioNTech Vaccine in which the patient died shortly after vaccination.’
1476531081562103808,2,‘The MHRA has received 666 UK reports of suspected ADRs to the COVID-19 Pfizer/BioNTech Vaccine in which the patient died shortly after vaccination.’
1305123249227853826,2,Not me trying to get my ass hpv vaccinated
1305123249227853826,1,my mum literally saying ‘no i dont trust let me research
1305123249227853826,3,moh approved it just like that
1603757680195010560,3,The Pfizer-BioNTech COVID-19 vaccine is 91% effective in preventing severe illness with COVID-19 in people age 16 and older. The vaccine is 100% effective in preventing COVID-19 in children ages 12-15
1724957371770995083,3,Don’t even get me started on how hard it was to get the updated gardasil 9 vaccine. Work needs to be done on this
1475922655589003264,3,The primary endpoint in Pfizer/BioNTechs Phase 3 trial was to reduce the incidence of symptomatic COVID in their treatment group
1352317482724417536,3,"Three HPV vaccines (Gardasil, Gardasil 9, and Cervarix) reduce the risk of cancerous or precancerous changes of the cervix by about 93%"
1608583231418564608,1,Pfizer & Moderna ald started the development of COVID-19 mRNA vaccines in 2017. The company was questioned by the Euro Parliament whether ald have access to the virus even before China discovered the first case. But the representative refused to answer
1608583231418564608,1,The company was questioned by the Euro Parliament whether ald have access to the virus even before China discovered the first case
1608583231418564608,3,Pfizer & Moderna ald started the development of COVID-19 mRNA vaccines in 2017. The company was questioned by the Euro Parliament whether ald have access to the virus even before China discovered the first case. But the representative refused to answer
